ks,hs,Gs_exact,E_estimate,re_E,M_z_exact,M_z_estimate,M_x_exact,M_x_estimate,M_z_LR_exact,M_z_LR_estimate,M_x_LR_exact,M_x_LR_estimate
0.031578947368421054,2.0,,(-74.36079818437811-0.00010119712785072141j),,,-0.0008655124240451392,,0.9591774735589815,,(-0.0009882532229705718-0.09793294970688114j),,(0.9644628247347761-0.0001357492160453677j)
0.06315789473684211,2.0,,(-74.1881496347012+4.830988791941828e-05j),,,0.0009795294867621528,,0.9564935365349594,,(-0.001029280472865037-0.20514356631762434j),,(0.9769768358969865+5.39787734402219e-05j)
0.09473684210526316,2.0,,(-73.87533840618426+4.350460122152101e-05j),,,0.0006056891547309031,,0.9513978699108413,,(0.0016482817160359687-0.3492557352823246j),,(1.006306964695922-0.000274939297835869j)
0.12631578947368421,2.0,,(-73.33488167385214-0.00013694770856230744j),,,-0.0023163689507378483,,0.9414743575021025,,(-0.0035472670422359957-0.659339278237316j),,(1.0967925543976065-0.0025431495003630077j)
0.15789473684210525,2.0,,(-72.56474371547475+0.5258788714855849j),,,0.08965852525499134,,0.9259637704464548,,(0.48727213757841703-0.4004926121275863j),,(0.9709319335015484+0.18244902478271952j)
0.18947368421052632,2.0,,(-72.08430253611579+1.0282570804420166j),,,0.1513794793023004,,0.9155707554148388,,(0.48705638447255817-0.42359780743076186j),,(0.9741718261972204+0.16526793110738264j)
0.2210526315789474,2.0,,(-71.58909299126827+1.5955543615221195j),,,0.19928910997178823,,0.904046069203242,,(0.5207803426045409-0.40744625826588987j),,(0.9570684820545791+0.18704943259189835j)
0.25263157894736843,2.0,,(-71.11109234991888+2.2108362557298324j),,,0.24342219034830737,,0.8914032768820762,,(0.5474261404865479-0.39337427323548996j),,(0.9333549233079917+0.20535381679107328j)
0.28421052631578947,2.0,,(-70.66021892611573+2.853087561826033j),,,0.2789463467068143,,0.8794031283556187,,(0.5636999542103165-0.40130484447341136j),,(0.9156543927879515+0.21096353712703714j)
0.3157894736842105,2.0,,(-70.21389123927761+3.5412339990164092j),,,0.31173324584960943,,0.8666934543918281,,(0.621217612995011-0.4083969592163799j),,(0.9025535511940935+0.20912069331051508j)
0.3473684210526316,2.0,,(-69.77937046177004+4.246497478486687j),,,0.3401705423990886,,0.8547395731424997,,(0.624334120213144-0.3489370099915843j),,(0.8922148393035146+0.22971855029304783j)
0.37894736842105264,2.0,,(-69.35189033473875+4.977937699776878j),,,0.3661503261990018,,0.8428401183531299,,(0.665749728658156-0.32951435669307705j),,(0.8803434250660729+0.2459835856879228j)
0.4105263157894737,2.0,,(-68.94970383895283+5.731439640531159j),,,0.3872265285915799,,0.831744291538765,,(0.6697159284030431-0.3429395479610424j),,(0.8668747939876266+0.2408200388957968j)
0.4421052631578948,2.0,,(-68.53957918612419+6.502824083023777j),,,0.4079004923502605,,0.8204498591040739,,(0.704385168838579-0.3744594413748671j),,(0.8585028288359879+0.26787995706580486j)
0.4736842105263158,2.0,,(-68.1408316292151+7.299040103792871j),,,0.4290754530164932,,0.809025929713912,,(0.7294169177005723-0.34898360091376895j),,(0.8486870691108128+0.26239376968588685j)
0.5052631578947369,2.0,,(-67.74653950253789+8.1138898143048j),,,0.44680701361762165,,0.7975335180004621,,(0.71208282322745-0.35959112585462505j),,(0.8403394378107443+0.26944361439979636j)
0.5368421052631579,2.0,,(-67.36448423705426+8.935201814846847j),,,0.46355946858723973,,0.7871674665909347,,(0.6983492349906619-0.3522230965274126j),,(0.8313037102593833+0.26678855592517975j)
0.5684210526315789,2.0,,(-66.98782775163905+9.770815463682727j),,,0.4772385491265192,,0.7771552211923177,,(0.7407675552086669-0.3236758356989383j),,(0.8100127800702734+0.2921947982455618j)
0.6,2.0,,(-66.61283882488111+10.631033751844736j),,,0.4910227457682293,,0.7669246204582902,,(0.7244080316831597-0.3243513464393524j),,(0.8147352726850331+0.30884728713139836j)
0.031578947368421054,2.25,,(-83.07562027440139-1.1556296014985513e-05j),,,-0.00029669867621527765,,0.9702390950492203,,(-0.0014612318947209951+0.059716838393859405j),,(0.9721555228162545-0.000134069647705293j)
0.06315789473684211,2.25,,(-82.97326294339554-4.358891524648304e-06j),,,0.0006743537055121529,,0.9686866653429206,,(-0.0008509605796431697+0.12050081969850056j),,(0.9767506110120229-0.00011468676466662473j)
0.09473684210526316,2.25,,(-82.79901401179232-2.406821319990837e-05j),,,-0.00011698404947916685,,0.966159943212846,,(0.0025855272115734374+0.18868500344539732j),,(0.9851890763567298+0.00011823093118655982j)
0.12631578947368421,2.25,,(-82.54603074491719+1.9723616378898992e-05j),,,0.0005323621961805557,,0.9628616084730934,,(0.0022364420326008317+0.25883202826848745j),,(0.998897548267534+0.00042171620786326543j)
0.15789473684210525,2.25,,(-82.20292202678763+1.30754727106186e-05j),,,-0.0013508266872829862,,0.958476377665494,,(0.0023582843946317157+0.34850546513541253j),,(1.0197145004226043-5.139159119366861e-05j)
0.18947368421052632,2.25,,(-81.74563975252644+0.00036065307043858216j),,,7.163153754340275e-05,,0.951888097039927,,(-0.004334831557606558+0.45994691265459536j),,(1.0552945576004953-0.0014999062301902816j)
0.2210526315789474,2.25,,(-81.10711839029923+0.0010431858714870896j),,,0.0008006625705295141,,0.9426588283881248,,(0.018722856388014544+0.6702230969967129j),,(1.1409380885881215+0.009132527184510218j)
0.25263157894736843,2.25,,(-80.12263102357483-0.41729335171806986j),,,0.04564751519097224,,0.9270151420749692,,(0.5724641528944542+0.6242913750408922j),,(1.071678092055194-0.27575102839050625j)
0.28421052631578947,2.25,,(-79.53165663422077-0.9535959023328221j),,,0.09288830227322051,,0.9182223056505732,,(0.5026546749050692+0.6599252565434127j),,(1.0404575842891983-0.17856565343250896j)
0.3157894736842105,2.25,,(-78.92083857893259-1.4834364209917412j),,,0.1298285590277778,,0.9078924707180814,,(0.49432269352165437+0.4672983913509437j),,(1.0126295219300976-0.20953282052584007j)
0.3473684210526316,2.25,,(-78.32411490542225-2.085849412313405j),,,0.16588083902994796,,0.8977539085773681,,(0.579488022134075+0.5646752526251667j),,(0.9552143970815788-0.25718889654018207j)
0.37894736842105264,2.25,,(-77.75681560104785-2.7180941277987425j),,,0.2001724243164063,,0.8868172076900824,,(0.5644049620255354+0.3570357164660079j),,(1.0169835637422708-0.3002267783826841j)
0.4105263157894737,2.25,,(-77.20060978315321-3.387236910189784j),,,0.23112826877170145,,0.8760076117374518,,(0.7352289542346618+0.5164424778344953j),,(0.9395677069418062-0.28917158700333584j)
0.4421052631578948,2.25,,(-76.66459232228415-4.0945819510075045j),,,0.25698937310112857,,0.8656994559123472,,(0.6163164947400672+0.44698241531872474j),,(0.9369945899717828-0.24849163894116222j)
0.4736842105263158,2.25,,(-76.1494941486009-4.813538948415542j),,,0.2839571634928386,,0.8552594923536081,,(0.6659436050757643+0.41172343630357267j),,(0.9218495271176796-0.2613181639946369j)
0.5052631578947369,2.25,,(-75.65535809964894-5.556545142484712j),,,0.3064380221896702,,0.8454201108242322,,(0.702526541721664+0.4382339689436962j),,(0.8923887903004672-0.26361917833607756j)
0.5368421052631579,2.25,,(-75.15545568941225-6.335714323068107j),,,0.32562128702799487,,0.8352236161201959,,(0.6542005661239356+0.43432159916771546j),,(0.9477491604952196-0.2537637312123128j)
0.5684210526315789,2.25,,(-74.65925339185002-7.101935075650313j),,,0.34759521484375006,,0.8243647844782112,,(0.717034138166151+0.3848065649679182j),,(0.8776832652596269-0.26509888651651053j)
0.6,2.25,,(-74.17203924139547-7.9023342264282075j),,,0.36699718899197054,,0.8137280258309334,,(0.5544644166561506+0.37278703231025506j),,(0.8759640244600873-0.27834709923874024j)
